SizeCategory,TotalCHYear1,Learners1,TotalCHYear2,Learners2,TotalCHYear3,Learners3,GradPR,VAF,Institution,Region,GPercentFemale,MissingFlag,ID,CHperLearner_Yr1,CHperLearner_Yr2,CHperLearner_Yr3,CHperLearner,OutlierFlag
Large,857176,1661,867934,1614,815186,1813,0.82,0.53,Sixth Form College,East Midlands,49,Complete,1003,516.0602047,537.75340768,449.63375621,501.14912286,Normal
Large,900882,1564,819897,1452,772705,1722,0.84,0.49,Sixth Form College,East of England,50,Complete,1005,576.01150895,564.66735537,448.7253194,529.80139457,Normal
Large-Medium,1168121,5297,1181678,5367,1175536,4783,0.83,0.58,Sixth Form College,East of England,49,Complete,1006,220.52501416,220.17477175,245.77378215,228.82452269,Normal
Large,1116752,2136,1297574,2153,1458615,2678,0.79,0.54,Sixth Form College,East of England,49,Complete,1007,522.82397004,602.68183929,544.66579537,556.72386823,Normal
Large,478245,795,505126,1331,507403,1648,0.74,0.52,Sixth Form College,East of England,50,Complete,1010,601.56603774,379.50864012,307.8901699,429.65494925,Normal
Large,1747078,2899,1641400,3456,1553337,4381,0.75,0.51,Sixth Form College,East of England,50,Complete,1011,602.64849948,474.94212963,354.56220041,477.38427651,Normal
Large-Medium,755525,2458,788523,2553,852674,3067,0.86,0.59,Sixth Form College,Greater London,51,Complete,1017,307.3738812,308.8613396,278.01565047,298.08362376,Normal
Large,1466971,2919,1483662,3203,1349778,3095,0.89,0.59,Sixth Form College,Greater London,47,Complete,1019,502.55943816,463.21011552,436.11567044,467.29507471,Normal
Large,273090,426,281553,453,319410,583,0.77,0.56,Sixth Form College,North East,49,Complete,1025,641.05633803,621.52980132,547.87307033,603.48640323,Normal
Large,1205656,2210,1158019,2025,1092444,2233,0.83,0.52,Sixth Form College,North East,51,Complete,1027,545.54570136,571.86123457,489.22704881,535.54466158,Normal
Large,1151787,2304,1142176,2267,1069176,2249,0.81,0.58,Sixth Form College,North East,49,Complete,1028,499.90755208,503.82708425,475.4006225,493.04508628,Normal
Large,1670944,2717,1661772,2711,1663991,2586,0.83,0.55,Sixth Form College,North West,47,Complete,1031,614.99595142,612.9738104,643.46133024,623.81036402,Normal
Large,1420088,2544,1351608,2525,1262173,2384,0.81,0.51,Sixth Form College,North West,51,Complete,1032,558.21069182,535.29029703,529.43498322,540.97865736,Normal
Large,630029,1110,621547,1127,595636,1319,0.86,0.47,Sixth Form College,North West,48,Complete,1033,567.59369369,551.50576752,451.58150114,523.56032079,Normal
Large-Medium,1008663,3330,1009843,3850,1051515,4057,0.81,0.48,Sixth Form College,North West,47,Complete,1034,302.9018018,262.29688312,259.18535864,274.79468119,Normal
Large-Medium,2176747,5842,2096406,5939,2094745,7197,0.83,0.6,Sixth Form College,North West,47,Complete,1039,372.6030469,352.98972891,291.05807976,338.88361852,Normal
Large-Medium,938850,3050,906367,3239,893631,3397,0.84,0.59,Sixth Form College,North West,47,Complete,1040,307.81967213,279.82926829,263.06476303,283.57123448,Normal
Large,1373276,2370,1423645,2539,1239722,1996,0.91,0.53,Sixth Form College,North West,52,Complete,1042,579.44135021,560.71090981,621.10320641,587.08515548,Normal
Large-Medium,1484834,5651,1835031,6394,1900155,7216,0.87,0.43,Sixth Form College,North West,50,Complete,1045,262.75597239,286.99264936,263.32524945,271.02462373,Normal
Large,1104906,2351,975840,2335,953103,2582,0.87,0.53,Sixth Form College,North West,48,Complete,1046,469.97277754,417.91862955,369.13361735,419.00834148,Normal
Large,917096,2401,879467,2489,866721,2720,0.88,0.51,Sixth Form College,North West,50,Complete,1047,381.96418159,353.34150261,318.64742647,351.31770356,Normal
Large,799029,1316,763697,1163,694124,1183,0.78,0.55,Sixth Form College,North West,52,Complete,1048,607.16489362,656.66122098,586.74894336,616.85835265,Normal
Large,,,,,837874,1557,0.9,0.44,Sixth Form College,North West,48,Year1_Missing,1050,,,538.13359024,538.13359024,Normal
Large,1163947,1811,1127007,1785,1116263,1914,0.78,0.53,Sixth Form College,North West,49,Complete,1051,642.70955273,631.37647059,583.20950888,619.09851073,Normal
Large,1335610,3415,1195602,3365,1117746,3666,0.86,0.5,Sixth Form College,South East,52,Complete,1053,391.10102489,355.30520059,304.89525368,350.43382639,Normal
