SizeCategory,TotalCHYear1,Learners1,TotalCHYear2,Learners2,TotalCHYear3,Learners3,GradPR,VAF,Institution,Region,GPercentFemale,MissingFlag,ID,CHperLearner_Yr1,CHperLearner_Yr2,CHperLearner_Yr3,CHperLearner,OutlierFlag
Large,1248720,1731,1115427,1513,1003088,1375,0.91,0.57,Sixth Form College,East Midlands,50,Complete,1001,721.3864818,737.22868473,729.51854545,729.377904,High_Outlier
Large,972662,1288,995326,1288,1010281,1773,0.9,0.45,Sixth Form College,East Midlands,50,Complete,1002,755.17236025,772.76863354,569.8144388,699.25181086,High_Outlier
Large,1412381,2066,1315597,1863,1291220,1888,0.85,0.5,Sixth Form College,East Midlands,51,Complete,1004,683.63068732,706.1712292,683.90889831,691.23693827,High_Outlier
Large,1416412,2171,1330920,2012,1323492,1964,0.75,0.49,Sixth Form College,East of England,48,Complete,1008,652.42376785,661.49105368,673.87576375,662.59686176,High_Outlier
Large,1446706,2039,1428635,1967,1257344,2072,0.81,0.49,Sixth Form College,East of England,47,Complete,1009,709.5174105,726.30147433,606.82625483,680.88171322,High_Outlier
Large,2325607,2793,2062824,2551,1947944,2466,0.82,0.55,Sixth Form College,East of England,48,Complete,1012,832.65556749,808.63347707,789.92051906,810.40318787,High_Outlier
Large,856334,1299,1020719,1485,1027776,1514,0.87,0.54,Sixth Form College,Greater London,48,Complete,1013,659.22555812,687.35286195,678.84808454,675.14216821,High_Outlier
Large,1007675,1460,1017537,1477,965367,1392,0.89,0.59,Sixth Form College,Greater London,52,Complete,1014,690.18835616,688.92146242,693.51077586,690.87353148,High_Outlier
Large,833472,1282,843501,1329,783525,1267,0.68,0.6,Sixth Form College,Greater London,49,Complete,1015,650.13416537,634.68848758,618.40962904,634.41076067,High_Outlier
Large,1578071,2095,1654886,2052,1700716,2097,0.73,0.62,Sixth Form College,Greater London,52,Complete,1016,753.25584726,806.47465887,811.02336671,790.25129095,High_Outlier
Large,1286998,1970,1295319,1953,1247463,1910,0.92,0.48,Sixth Form College,Greater London,48,Complete,1018,653.29847716,663.24577573,653.12198953,656.55541414,High_Outlier
Large,1488290,2046,1395744,1994,1472293,1996,0.94,0.47,Sixth Form College,Greater London,51,Complete,1020,727.41446725,699.97191575,737.62174349,721.6693755,High_Outlier
Large,831613,1076,813419,1057,818715,1049,0.8,0.6,Sixth Form College,Greater London,47,Complete,1021,772.87453532,769.55439924,780.47187798,774.30027085,High_Outlier
Large,722155,894,705987,870,686436,855,0.86,0.61,Sixth Form College,Greater London,50,Complete,1022,807.77964206,811.47931034,802.84912281,807.3693584,High_Outlier
Large,814123,1336,861123,1308,839939,1289,0.87,0.51,Sixth Form College,Greater London,47,Complete,1023,609.37350299,658.35091743,651.62063615,639.78168553,High_Outlier
Large,818151,1056,850368,1006,738477,978,0.9,0.54,Sixth Form College,Greater London,49,Complete,1024,774.76420455,845.29622266,755.08895706,791.71646142,High_Outlier
Large,694121,902,620832,854,598010,1203,0.89,0.59,Sixth Form College,North East,51,Complete,1026,769.53547672,726.96955504,497.09891937,664.53465037,High_Outlier
Large,382611,557,448104,637,500036,728,0.89,0.56,Sixth Form College,North East,49,Complete,1029,686.91382406,703.4599686,686.86263736,692.41214334,High_Outlier
Large,677280,1012,683636,999,692553,1130,0.8,0.53,Sixth Form College,North East,52,Complete,1030,669.24901186,684.32032032,612.87876106,655.48269775,High_Outlier
